party,state,votes,constituency,candidate
Independent,Assam,364,Katlichera,ASHIK AHMED LASKAR
Independent,Assam,329,Katlichera,BAPPA PURKAYASTHA
Independent,Assam,300,Katlichera,NOROKANTO DAS
None of the Above,Assam,931,Katlichera,None of the Above
Independent,Assam,159,Karimganj South,ABDUL HAMID
Independent,Assam,157,Karimganj South,AHMED ALI
Independent,Assam,150,Karimganj South,ABU BARKAT NIZAM UDDIN AHMED
Independent,Assam,122,Karimganj South,MUKTAR HUSSAIN
Independent,Assam,106,Karimganj South,SAD UDDIN
Independent,Assam,105,Karimganj South,SAHAJAN AHMED
Independent,Assam,98,Karimganj South,QUAMRUL ISLAM
Independent,Assam,97,Karimganj South,SARIF UDDIN
Samajwadi Party,Assam,303,Badarpur,KAMRUL ISLAM
Independent,Assam,295,Badarpur,SUBODH SUKLABAIDYA
Independent,Assam,168,Badarpur,OLIOUR RAHAMAN TAPADAR
Independent,Assam,147,Badarpur,SOLMON SHAIKH
Independent,Assam,142,Badarpur,ABDUS SUKKUR BEIG
Bharatiya Janata Party,Assam,94787,Silchar,SRI DILIP KUMAR PAUL
Indian National Congress,Assam,54867,Silchar,BITHIKA DEV
Communist Party of India  (Marxist),Assam,1961,Silchar,SUPRIYA BHATTACHARJEE
Independent,Assam,657,Silchar,SHUVADIP DATTA
Independent,Assam,95,Karimganj South,FAIZUL HAQUE
Independent,Assam,90,Karimganj South,KABIR UDDIN
Independent,Assam,80,Karimganj South,SALIM UDDIN
Independent,Assam,56,Karimganj South,SABIR AHMED
Independent,Assam,43,Karimganj South,RAJIB DAS
None of the Above,Assam,173,Karimganj South,None of the Above
Independent,Assam,132,Badarpur,KHASRUZZAMAN TALUKDAR
Independent,Assam,101,Badarpur,ANAM UDDIN
Independent,Assam,79,Badarpur,BINOY NAMASUDRA
None of the Above,Assam,596,Badarpur,None of the Above
Independent,Assam,526,Silchar,RITA MAZUMDER
Independent,Assam,512,Silchar,IMDAD HUSSAIN LASKAR
Samajwadi Party,Assam,332,Silchar,SAHIN AHMED CHOUDHURY
SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),Assam,324,Silchar,PRADIP KUMAR DEB
Independent,Assam,318,Silchar,BIJU CHANDA
Independent,Assam,270,Silchar,KHAIRUL ALAM BARBHUIYA
Independent,Assam,232,Silchar,BROJALAL DAS
Independent,Assam,211,Silchar,ASCHAM UDDIN LASKAR
Bharatiya Gana Parishad,Assam,199,Silchar,NILOM SANJIB SARMAH
Independent,Assam,158,Silchar,MONILAL DAS
Independent,Assam,97,Silchar,ASHIM KUMAR DAS
None of the Above,Assam,1143,Silchar,None of the Above
All India United Democratic Front,Assam,50531,Algapur,NIZAM UDDIN CHOUDHURY
Bharatiya Janata Party,Assam,32777,Algapur,KAUSHIK RAI
Indian National Congress,Assam,25927,Algapur,RAHUL ROY
Asom Gana Parishad,Assam,5822,Algapur,MEHNAZ SAHID CHOUDHURY
Samajwadi Party,Assam,585,Algapur,SAHIDUL ISLAM LASKAR
Independent,Assam,509,Algapur,AHMED HUSSAIN LASKAR
Independent,Assam,475,Algapur,RAJU DAS
Independent,Assam,475,Algapur,RUPU DEB
Independent,Assam,461,Algapur,SAMIN AHMED CHOUDHURY
Independent,Assam,260,Algapur,AHMED KARIM BARBHUIYA
Independent,Assam,229,Algapur,IMADUL ISLAM LASKAR
Independent,Assam,222,Algapur,BINAYAK DEB
Independent,Assam,179,Algapur,KAZI MUZAKKIR HUSSAIN
Independent,Assam,173,Algapur,SALEH AHMED MAZUMDER
None of the Above,Assam,768,Algapur,None of the Above
Bharatiya Janata Party,Assam,44236,Sonai,AMINUL HAQUE LASKAR
Indian National Congress,Assam,36683,Sonai,ANAMUL HAQUE
All India United Democratic Front,Assam,32109,Sonai,KARIM UDDIN BARBHUIYA
Independent,Assam,2987,Sonai,IBUNGOBI SINGHA
Independent,Assam,2408,Sonai,ANWAR HUSSAIN LASKAR
Independent,Assam,943,Sonai,SANJIB KUMAR DAS
Independent,Assam,598,Sonai,SANTOSH DAS
Independent,Assam,579,Sonai,REJAUL ISLAM BARBHUIYA
Lok Jan Shakti Party,Assam,522,Sonai,PRANESH NATH
Samajwadi Party,Assam,401,Sonai,MANINDRA CHANDRA DAS
Independent,Assam,401,Sonai,JAWAHAR LAL GOALA
Independent,Assam,306,Sonai,MAKSUS AHMED LASKAR
Indian National Congress,Assam,60135,Lakhipur,RAJDEEP GOALA
Bharatiya Janata Party,Assam,35768,Lakhipur,THOIBA SINGHA
Janata Dal  (United),Assam,8923,Lakhipur,LALTHOMLIEN HMAR
SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),Assam,1346,Lakhipur,JOY SINGH CHATRI
Independent,Assam,741,Lakhipur,SANJAY KUMAR THAKUR
Independent,Assam,660,Lakhipur,AJMUL HUSSAIN LASKAR
None of the Above,Assam,1292,Sonai,None of the Above
Independent,Assam,456,Lakhipur,UJJAL DHUBI
None of the Above,Assam,1309,Lakhipur,None of the Above
Bharatiya Janata Party,Assam,68694,Dholai,PARIMAL SUKLABAIDYA
Indian National Congress,Assam,41857,Dholai,GIRINDRA MALLIK
All India United Democratic Front,Assam,13382,Dholai,LALTA PROSAD MALA
SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),Assam,1146,Dholai,GOUR CHANDRA DAS
Independent,Assam,1114,Dholai,NIHAR RANJAN DAS
None of the Above,Assam,2110,Dholai,None of the Above
Bharatiya Janata Party,Assam,54204,Udharbond,MIHIR KANTI SHOME
Indian National Congress,Assam,45598,Udharbond,AJIT SINGH
All India United Democratic Front,Assam,8715,Udharbond,LIAKAT ALI LASKAR
Independent,Assam,882,Udharbond,SADIK HUSSAIN BARLASKAR
Samajwadi Party,Assam,542,Udharbond,APARNA TEWARI
Independent,Assam,474,Udharbond,MOINUL HOQUE LASKAR
None of the Above,Assam,1745,Udharbond,None of the Above
Bharatiya Janata Party,Assam,36482,Barkhola,KISHOR NATH
Independent,Assam,36440,Barkhola,MISBAHUL ISLAM LASKAR
Indian National Congress,Assam,21946,Barkhola,DR. RUMI NATH
All India United Democratic Front,Assam,4051,Barkhola,JAHURUL ISLAM BARBHUIYA
Communist Party of India  (Marxist),Assam,2438,Barkhola,CHUNILAL BHATTACHARJEE
Independent,Assam,619,Barkhola,BADRUL ISLAM MAZUMDER
Bharatiya Janata Party,Assam,59764,Katigorah,AMAR CHAND JAIN
All India United Democratic Front,Assam,50956,Katigorah,KHALIL UDDIN MAZUMDER
Indian National Congress,Assam,16418,Katigorah,ATAUR RAHMAN MAZARBHUIYA
Independent,Assam,1949,Katigorah,TRAYABASHI DAS
Communist Party of India,Assam,1372,Katigorah,MOINUL HOQUE
Independent,Assam,906,Katigorah,SAMUJJAL DAS
Independent,Assam,473,Barkhola,ANAM UDDIN MAZUMDER
Independent,Assam,464,Barkhola,NAZMUL HOQUE LASKAR
None of the Above,Assam,1621,Barkhola,None of the Above
Independent,Assam,826,Katigorah,HANIF ALOM MAZARBHUIYA
Samajwadi Party,Assam,552,Katigorah,ALA UDDIN CHOUDHURY
Independent,Assam,541,Katigorah,SALEH AHMED TALUKDAR
Independent,Assam,425,Katigorah,ARUN KARMAKAR
Independent,Assam,356,Katigorah,RAFIQUE UZZAMAN LASKAR
Independent,Assam,284,Katigorah,MAHENDRA SINHA
Jan Congress Party,Assam,273,Katigorah,SUJATA SINHA
Independent,Assam,184,Katigorah,DIPAK LAL DAS
None of the Above,Assam,906,Katigorah,None of the Above
Bharatiya Janata Party,Assam,52037,Haflong ,BIR BHADRA HAGJER
Indian National Congress,Assam,43731,Haflong ,NIRMAL LANGTHASA
Independent,Assam,2893,Haflong ,MAYASING DAULAGUPU
All India United Democratic Front,Assam,2723,Haflong ,NEIKHOL HAOLAI CHANGSAN
None of the Above,Assam,1111,Haflong ,None of the Above
Bharatiya Janata Party,Assam,40170,Bokajan,NUMAL MOMIN
Indian National Congress,Assam,35426,Bokajan,KLENGDOON ENGTI
Independent,Assam,25388,Bokajan,JAGAT SING ENGTI
National People's Party,Assam,1628,Bokajan,DANIEL MOMIN
Independent,Assam,1441,Bokajan,SANJAY KEMPRAI
Jan Congress Party,Assam,959,Bokajan,BIKHA TOKBI
None of the Above,Assam,2144,Bokajan,None of the Above
Bharatiya Janata Party,Assam,43378,Howraghat,JOY RAM ENGLENG
Indian National Congress,Assam,36987,Howraghat,KHORSING ENGTI
Independent,Assam,15899,Howraghat,CHOMANG KRO
None of the Above,Assam,1906,Howraghat,None of the Above
Bharatiya Janata Party,Assam,64421,Diphu,SUM RONGHANG
Indian National Congress,Assam,36185,Diphu,BIDYA SING ENGLENG
Independent,Assam,31647,Diphu,DR. JAYANTA RONGPI
Lok Jan Shakti Party,Assam,1975,Diphu,DIPENDRA RONGPI
Jan Congress Party,Assam,1231,Diphu,MARY KRAMSAPI
None of the Above,Assam,2803,Diphu,None of the Above
Indian National Congress,Assam,54181,Mankachar ,DR. MOTIUR ROHMAN MONDAL
All India United Democratic Front,Assam,49868,Mankachar ,MD. AMINUL ISLAM
Independent,Assam,48358,Mankachar ,ZABED ISLAM
Bharatiya Janata Party,Assam,8490,Mankachar ,ABDUL SALAM SHAH
Independent,Assam,6718,Mankachar ,AMINUL ISLAM
Independent,Assam,1399,Mankachar ,RUKUNUR ZAMAN
SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),Assam,1186,Mankachar ,PAHCHAN ALI
Samajwadi Party,Assam,590,Mankachar ,MOSTAQUE MD MOKSEDUR HASSAN
None of the Above,Assam,835,Mankachar ,None of the Above
Indian National Congress,Assam,62596,Baithalangso,DR.MANSING RONGPI
Bharatiya Janata Party,Assam,53077,Baithalangso,ARUN TERANG
Independent,Assam,25171,Baithalangso,HOLIRAM TERANG
Jan Congress Party,Assam,2285,Baithalangso,DHONSING HANSE
None of the Above,Assam,2981,Baithalangso,None of the Above
Indian National Congress,Assam,80066,Salmara South,WAZED ALI CHOUDHURY
All India United Democratic Front,Assam,63343,Salmara South,BADRUDDIN AJMAL
Bharatiya Janata Party,Assam,1954,Salmara South,SHIRAJ HUSSAIN
SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),Assam,1153,Salmara South,DEWAN JOYNAL ABEDIN
None of the Above,Assam,581,Salmara South,None of the Above
All India United Democratic Front,Assam,60933,Dhubri,NAJRUL HOQUE
Independent,Assam,36847,Dhubri,NAZIBUL UMAR
Bharatiya Janata Party,Assam,33648,Dhubri,DR. DEBAMOY SANYAL
Indian National Congress,Assam,13126,Dhubri,ABEDUR ZAMAN
Independent,Assam,3486,Dhubri,RASUL HOQUE
Independent,Assam,975,Dhubri,ALI HUSSAIN
Communist Party of India  (Marxist),Assam,669,Dhubri,SOPIAR RAHMAN
SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),Assam,552,Dhubri,AZHAR HUSSAIN
Republican Party of India (A),Assam,406,Dhubri,MUKTA BEGUM
Rashtriya Secular Congress,Assam,312,Dhubri,BAHARUL SK.
None of the Above,Assam,1069,Dhubri,None of the Above
All India United Democratic Front,Assam,73423,Gauripur,NIJANUR RAHMAN
Bodoland Peoples Front,Assam,53512,Gauripur,BANENDRA KUMAR MUSHAHARY
Indian National Congress,Assam,23102,Gauripur,SUSHIL KUMAR ROY
Independent,Assam,5420,Gauripur,SUKUMAR ROY
Independent,Assam,768,Gauripur,ABDUR RAZZAQUE SHEIKH
Independent,Assam,669,Gauripur,SUNIL DAS
Independent,Assam,595,Gauripur,MOINUL HOQUE
Rashtriya Secular Congress,Assam,539,Gauripur,HELIM ZAMAN
Independent,Assam,534,Gauripur,BIKROMJIT ROY
The National Road Map Party of India,Assam,487,Gauripur,MD. MAHIJUR RAHMAN
