status,votes,candidate,state,party,constituency
Result Declared  ,366,LUTFUR RAHMAN LASKAR,Assam,Independent,Hailakandi
Result Declared  ,363,AMIT KUMAR DEB,Assam,Independent,Hailakandi
Result Declared  ,244,MITUZZAMAN LASKAR,Assam,Independent,Hailakandi
Result Declared  ,228,PARBEJ KHASRU LASKAR,Assam,Independent,Hailakandi
Result Declared  ,211,AMAR CHAND BHOWMIK,Assam,Independent,Hailakandi
Result Declared  ,199,BURHAN UDDIN BARBHUIYA,Assam,Independent,Hailakandi
Result Declared  ,180,SAHARUZZAMAN LASKAR,Assam,Independent,Hailakandi
Result Declared  ,176,ABUL HUSSAIN BARBHUIYA,Assam,Independent,Hailakandi
Result Declared  ,163,SUSHIL PAUL,Assam,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),Hailakandi
Result Declared  ,158,ADHIR CHANDA,Assam,Independent,Hailakandi
Result Declared  ,122,AJAY KUMAR ROY,Assam,Independent,Hailakandi
Result Declared  ,114,SANKAR CHAKROBARTY,Assam,Independent,Hailakandi
Result Declared  ,281,None of the Above,Assam,None of the Above,Hailakandi
Result Declared  ,36482,KISHOR NATH,Assam,Bharatiya Janata Party,Barkhola
Result Declared  ,36440,MISBAHUL ISLAM LASKAR,Assam,Independent,Barkhola
Result Declared  ,21946,DR. RUMI NATH,Assam,Indian National Congress,Barkhola
Result Declared  ,4051,JAHURUL ISLAM BARBHUIYA,Assam,All India United Democratic Front,Barkhola
Result Declared  ,2438,CHUNILAL BHATTACHARJEE,Assam,Communist Party of India  (Marxist),Barkhola
Result Declared  ,38266,JAMAL UDDIN AHMED,Assam,Indian National Congress,Badarpur
Result Declared  ,36178,ABDUL AZIZ,Assam,All India United Democratic Front,Badarpur
Result Declared  ,35694,DIPAK DEB,Assam,Bharatiya Janata Party,Badarpur
Result Declared  ,418,SAZIDUL HOQUE,Assam,Independent,Badarpur
Result Declared  ,303,KAMRUL ISLAM,Assam,Samajwadi Party,Badarpur
Result Declared  ,619,BADRUL ISLAM MAZUMDER,Assam,Independent,Barkhola
Result Declared  ,473,ANAM UDDIN MAZUMDER,Assam,Independent,Barkhola
Result Declared  ,464,NAZMUL HOQUE LASKAR,Assam,Independent,Barkhola
Result Declared  ,1621,None of the Above,Assam,None of the Above,Barkhola
Result Declared  ,295,SUBODH SUKLABAIDYA,Assam,Independent,Badarpur
Result Declared  ,168,OLIOUR RAHAMAN TAPADAR,Assam,Independent,Badarpur
Result Declared  ,147,SOLMON SHAIKH,Assam,Independent,Badarpur
Result Declared  ,142,ABDUS SUKKUR BEIG,Assam,Independent,Badarpur
Result Declared  ,132,KHASRUZZAMAN TALUKDAR,Assam,Independent,Badarpur
Result Declared  ,101,ANAM UDDIN,Assam,Independent,Badarpur
Result Declared  ,79,BINOY NAMASUDRA,Assam,Independent,Badarpur
Result Declared  ,596,None of the Above,Assam,None of the Above,Badarpur
Result Declared  ,50531,NIZAM UDDIN CHOUDHURY,Assam,All India United Democratic Front,Algapur
Result Declared  ,32777,KAUSHIK RAI,Assam,Bharatiya Janata Party,Algapur
Result Declared  ,25927,RAHUL ROY,Assam,Indian National Congress,Algapur
Result Declared  ,5822,MEHNAZ SAHID CHOUDHURY,Assam,Asom Gana Parishad,Algapur
Result Declared  ,585,SAHIDUL ISLAM LASKAR,Assam,Samajwadi Party,Algapur
Result Declared  ,509,AHMED HUSSAIN LASKAR,Assam,Independent,Algapur
Result Declared  ,475,RAJU DAS,Assam,Independent,Algapur
Result Declared  ,475,RUPU DEB,Assam,Independent,Algapur
Result Declared  ,461,SAMIN AHMED CHOUDHURY,Assam,Independent,Algapur
Result Declared  ,260,AHMED KARIM BARBHUIYA,Assam,Independent,Algapur
Result Declared  ,229,IMADUL ISLAM LASKAR,Assam,Independent,Algapur
Result Declared  ,59764,AMAR CHAND JAIN,Assam,Bharatiya Janata Party,Katigorah
