status,leading party,leading candidate,trailing party,trailing candidate,constituency,margin,const. no.
Result Declared,Indian National Congress,NURUL HUDA,All India United Democratic Front,NURUL AMIN CHOWDHURY,Rupohihat,21844                                             ,85
Result Declared,Bharatiya Janata Party,SARBANANDA SONOWAL,Indian National Congress,RAJIB LOCHAN PEGU,Majuli,18923                                             ,99
Result Declared,Bharatiya Janata Party,GURUJYOTI DAS,Indian National Congress,BASANTA DAS,Mangaldoi,22045                                             ,67
Result Declared,Indian National Congress,DR. MOTIUR ROHMAN MONDAL,All India United Democratic Front,MD. AMINUL ISLAM,Mankachar ,4313                                              ,21
Result Declared,Bharatiya Janata Party,BHASKAR SHARMA,Indian National Congress,PRADYUT BORDOLOI,Margherita,22744                                             ,124
Result Declared,Indian National Congress,RUPJYOTI KURMI,Nationalist Congress Party,ALOK KUMAR GHOSH,Mariani,1793                                              ,101
Result Declared,Bharatiya Janata Party,BOLIN CHETIA,Indian National Congress,BIRINCHI NEOG,Sadiya,6566                                              ,126
Result Declared,Indian National Congress,WAZED ALI CHOUDHURY,All India United Democratic Front,BADRUDDIN AJMAL,Salmara South,16723                                             ,22
Result Declared,Indian National Congress,RAKIBUL HUSSAIN,Bharatiya Janata Party,JITU GOSWAMI,Samaguri,14515                                             ,88
Result Declared,Indian National Congress,JAKIR HUSSAIN SIKDAR,Asom Gana Parishad,CHITTARANJAN BARMAN,Sarukhetri,24247                                             ,46
Result Declared,Bharatiya Janata Party,UTPAL BORAH,Indian National Congress,MONIKA BORA,Gohpur,28935                                             ,78
Result Declared,Indian National Congress,AJANTA NEOG,Bharatiya Janata Party,BITUPAN SAIKIA,Golaghat,5213                                              ,95
Result Declared,Bharatiya Janata Party,ASHWINI RAY SARKAR,Indian National Congress,ABDUS SOBAHAN ALI SARKAR,Golakganj,6391                                              ,25
Result Declared,Bharatiya Janata Party,RAMA KANTA DEWRI,Indian National Congress,JONJONALI BARUAH,Marigaon,29623                                             ,80
Result Declared,Bharatiya Janata Party,CHAKRADHAR GOGOI,Indian National Congress,PABAN SINGH GHATOWAR,Moran,16231                                             ,115
Result Declared,Bharatiya Janata Party,NARAYAN DEKA,Indian National Congress,DIGANTA BARMAN,Barkhetry,8613                                              ,60
Result Declared,Bharatiya Janata Party,KISHOR NATH,Independent,MISBAHUL ISLAM LASKAR,Barkhola,42                                                ,14
Result Declared,Asom Gana Parishad,GUNINDRA NATH DAS,Indian National Congress,A.RAHIM AHMED,Barpeta,5810                                              ,43
Result Declared,Indian National Congress,ROSELINA TIRKEY,Asom Gana Parishad,BINOD GOWALLA,Sarupathar,2927                                              ,94
Result Declared,Indian National Congress,PRANAB KUMAR GOGOI,Bharatiya Janata Party,SURABHI RAJKONWAR,Sibsagar,542                                               ,108
Result Declared,Bodoland Peoples Front,MAJENDRA NARZARY,All India United Democratic Front,RAVI SANKAR KASIREDDY,Gossaigaon,6041                                              ,28
Result Declared,Bharatiya Janata Party,BIR BHADRA HAGJER,Indian National Congress,NIRMAL LANGTHASA,Haflong ,8306                                              ,16
Result Declared,All India United Democratic Front,ANWAR HUSSAIN LASKAR,Bharatiya Janata Party,SOUMYAJIT DUTTA CHOUDHURY,Hailakandi,2608                                              ,6
Result Declared,Bharatiya Janata Party,SUMAN HARIPRIYA,Indian National Congress,DULU AHMED,Hajo,8908                                              ,55
Result Declared,Bharatiya Janata Party,SHILADITYA DEV,All India United Democratic Front,DHANIRAM THOUSEN,Hojai,55859                                             ,91
Result Declared,Bharatiya Janata Party,ANGOORLATA DEKA,Indian National Congress,GAUTAM BORA,Batadroba,5885                                              ,84
Result Declared,Bharatiya Janata Party,RANJIT DUTTA,Indian National Congress,RUPAK SARMA,Behali,23601                                             ,77
Result Declared,All India United Democratic Front,ABUL KALAM AZAD,Independent,PHANIHDAR TALUKDAR,Bhabanipur,2439                                              ,41
Result Declared,Bharatiya Janata Party,DEBANANDA HAZARIKA,Indian National Congress,BHUPEN KUMAR BORAH,Bihpuria,26187                                             ,109
Result Declared,Bodoland Peoples Front,KAMALSHING NARZARY,Bharatiya Gana Parishad,AJAY KUMAR RAY,Bijni,1678                                              ,33
Result Declared,Bharatiya Janata Party,JOY RAM ENGLENG,Indian National Congress,KHORSING ENGTI,Howraghat,6391                                              ,18
